ticker,sig,n_ins,ceo_cfo,value,adv,ex_spy,ex_iwm
HPK,2023-09-21,2,True,8446324.2,8486421.42047882,448.2490203640398,812.8525062601465
CHPT,2023-09-22,2,False,12885000.0,76188916.49653435,-4177.1783528409,-3749.0475660237803
STAA,2023-09-22,2,False,11788979.71,34805757.67791748,726.3550379916555,1154.4858248087746
MEI,2023-09-25,2,True,529241.0,9325365.02527237,114.205662076922,513.8858865391542
ADC,2023-09-27,2,True,3400000.0,43817555.48749924,170.63567290700968,554.7996965543084
SPWH,2023-09-28,2,False,305211.25,3970194.156894684,2207.175881151098,2636.2861024771832
ASTI,2023-10-02,5,True,384995.52,3400031.95,-5164.229777236194,-4857.821752368913
SPRY,2023-10-02,2,False,8328325.74,11929212.334427834,-1143.325110087971,-836.9170852206892
SPG,2023-10-03,11,True,359085.49,201270215.29541016,834.4195824964083,1123.7320569284468
COTY,2023-10-04,2,False,37800000.0,68163863.00319672,-854.0506933958135,-620.2092953855907
BHVN,2023-10-06,2,True,902123.69,32639615.256643295,1868.2371711496423,2044.014511139037
SRRK,2023-10-18,3,False,45086782.05,4775226.652970314,4164.335389127752,4291.903411635015
NTRS,2023-10-25,3,True,1736268.5,109648059.77090836,867.8061312733223,978.6145301153529
FFIN,2023-10-26,4,False,257861.0,15405204.507303238,-279.5878964330238,-231.49579357693835
CFFN,2023-10-31,5,False,310289.4,4244571.707603931,-576.4394348426304,-636.375343680353
TBI,2023-11-01,4,True,298284.0,4430343.332681656,1770.6661368088205,1543.1895236554171
B,2023-11-02,2,True,2661888.16,302598794.19407845,272.44332546850393,67.90905205816003
MBLY,2023-11-02,2,False,1100180.15,104854256.48578644,-59.153250289538036,-263.687523699882
TEX,2023-11-02,3,True,437369.3,62406322.98538208,-223.09620940554473,-427.6304828158886
MKL,2023-11-06,3,True,297468.72,80502354.83032227,-85.0540314527206,-396.83938319006205
SRPT,2023-11-06,2,True,5942299.89,213863677.35652924,387.6381057740254,75.85275403668393
NMRA,2023-11-07,2,False,2199889.4,3059308.9953565598,-290.39611058605925,-724.2189410267102
NVST,2023-11-07,2,True,258313.07,70377608.12328339,391.04142523159,-42.7814052090611
TBBK,2023-11-07,2,False,733039.45,15177789.586715698,-168.8676524484753,-602.6904828891263
AES,2023-11-08,3,True,869167.6,152322211.72089577,526.7907893751689,-35.18804073370019
ET,2023-11-08,2,False,13629975.0,193053099.8954153,-495.3675827752346,-1057.3464128841038
FCPT,2023-11-08,2,True,306063.0,16138795.442171097,230.76817827005465,-331.21065183881444
AURA,2023-11-09,2,False,15474987.3,2367928.316245079,-146.16816287349468,-730.0583674836771
